key,zh,en
ui.difficulty,难度：,Difficulty: 
ui.teaching,（教学夜）,(Tutorial)
ui.boss_warn,⚠ 本夜有 Boss 出没,⚠ Boss appears this night
ui.game_over,游戏结束,Game Over
ui.early_retire,提前收工,Early Retire
ui.shop.skip,继续下一夜 (Q),Next Night (Q)
ui.shop.retire,点亮信号 · 提前收工,Light Signal · Retire
ui.shop.retire_confirm_title,确认提前收工？,Confirm early retire?
ui.shop.retire_confirm_body,将按当前进度结算星尘并结束本局（非通关）。,Settle stardust by progress and end this run (not a clear).
ui.shop.retire_confirm_ok,点亮信号,Light Signal
ui.shop.retire_confirm_cancel,取消,Cancel
ui.day.title,抉择之昼,Day of Choice
ui.day.hint,"右侧商店可购买强化 · 可融合时点「融合」· 按 Q 继续下一夜 · 「点亮信号」可提前收工","Shop on the right · Fuse when ready · Q for next night · Light Signal to retire early"
ui.day.subtitle_rest,第 %d 夜结束 · 灯塔休息回血,Night %d ended · Lighthouse rest heal
ui.day.subtitle,第 %d 夜结束,Night %d ended
ui.day.event,事件：%s,Event: %s
ui.victory,通关,Victory
ui.restart,再来一局 (Enter),Play Again (Enter)
ui.meta,角色 / 灯塔,Character / Lighthouse
ui.hint,"按 Enter 或点击按钮重开 · 可进入角色选择 / 灯塔升级","Press Enter or click to restart · Character / Lighthouse upgrades"
difficulty.tier.lighthouse,灯塔守望,Lighthouse Watch
difficulty.tier.watcher,守夜人,Night Watcher
ui.difficulty_select,难度档位,Difficulty
ui.hud.hp,HP %d / %d,HP %d / %d
ui.hud.exp,Lv %d  经验 %d / %d,Lv %d  XP %d / %d
ui.hud.night,第 %d / 20 夜%s,Night %d / 20 %s
ui.result.stats_defeat,存活至第 %d 夜 · 等级 %d · 潮币 %d · 难度 %s,Survived to night %d · Lv %d · Coins %d · %s
ui.result.stats_victory,通关 · 第 %d 夜 · 等级 %d · 潮币 %d · 难度 %s,Victory · Night %d · Lv %d · Coins %d · %s
ui.result.stardust,本局星尘 +%d（累计 %d）,Stardust +%d (Total %d)
ui.result.victory_reason,击败吞噬之星，第 20 夜结束,Devouring Star defeated — Night 20 complete
ui.death.reason.hp_zero,死因：血量归零,Cause: HP depleted
ui.death.reason.timeout,死因：超时,Cause: Time out
ui.death.reason.death,死因：生命值耗尽,Cause: HP depleted
ui.death.reason.early_retire,点亮信号，按进度结算离场,Signal lit — settled by progress
ui.death.reason.other,死因：%s,Cause: %s
ui.death.last_hit,最后一击：%s（%d）,Last hit: %s (%d)
ui.death.no_record,伤害来源：无记录,Damage sources: none
ui.death.top_sources,伤害来源 Top%d：%s,Top %d damage sources: %s
ui.death.top_entry,%d. %s %d,%d. %s %d
ui.source.contact,接触·%s,Contact · %s
ui.source.explode,自爆·%s,Self-destruct · %s
ui.source.enemy_contact,敌人接触,Enemy contact
ui.source.enemy_projectile,敌方弹幕,Enemy projectile
ui.source.affix_thorns,荆棘反伤,Thorns reflect
ui.source.boss_tide_archon,天灾潮汐,Calamity tide
ui.source.unknown,未知,Unknown
ui.char_select.title,选择角色,Select Character
ui.char_select.stardust,星尘：%d,Stardust: %d
ui.char_select.lighthouse,灯塔升级树,Lighthouse Upgrades
ui.char_select.start,开始游戏,Start Game
ui.char_select.pick,选择,Select
ui.char_select.no_traits,无特性,No traits
